Year	   JuniperW3	     PineSugar1	 HemlockMtn2	   PineJeff4	     PineWW2
1620	       0.882	          1.180	       0.998	       1.034	       0.914
1621	       1.103	          0.987	       0.975	       0.900	       0.942
1622	       0.929	          1.201	       1.050	       0.936	       1.084
1623	       1.139	          0.977	       0.985	       0.971	       0.959
1624	       1.186	          1.007	       1.018	       0.757	       0.736
1625	       1.186	          1.015	       0.797	       0.860	       0.760
1626	       0.705	          0.819	       0.952	       0.707	       0.841
1627	       0.973	          0.901	       0.870	       0.658	       0.761
1628	       1.119	          0.826	       0.864	       0.726	       0.773
1629	       1.035	          0.786	       0.848	       0.360	       0.770
1630	       0.905	          0.805	       0.893	       0.708	       0.829
1631	       0.919	          0.846	       0.765	       0.707	       0.757
1632	       0.788	          0.860	       0.881	       0.680	       0.777
1633	       1.365	          1.125	       0.787	       0.978	       0.849
1634	       0.544	          0.969	       1.062	       1.069	       1.035
1635	       0.658	          1.120	       0.687	       1.131	       0.725
1636	       1.020	          1.376	       1.044	       1.393	       1.116
1637	       0.754	          0.976	       1.110	       1.305	       1.028
1638	       0.713	          1.058	       0.787	       1.007	       0.854
1639	       0.690	          0.830	       0.799	       0.713	       0.801
1640	       0.862	          0.887	       0.833	       1.075	       1.006
1641	       1.022	          1.011	       0.427	       1.341	       0.631
1642	       1.429	          1.022	       0.916	       1.387	       0.694
1643	       1.236	          1.011	       0.913	       1.187	       0.804
1644	       1.184	          1.113	       0.928	       1.222	       0.773
1645	       0.736	          1.012	       1.074	       1.117	       0.914
1646	       0.717	          1.022	       0.887	       0.911	       0.997
1647	       0.791	          0.858	       0.828	       0.970	       0.916
1648	       1.046	          0.977	       0.997	       1.048	       1.125
1649	       0.939	          1.180	       0.915	       1.102	       1.062
1650	       1.042	          1.128	       0.995	       1.166	       1.065
1651	       0.879	          1.081	       0.969	       1.103	       1.213
1652	       1.217	          1.111	       0.955	       1.068	       1.187
1653	       0.874	          0.915	       0.810	       0.894	       1.011
1654	       1.089	          1.170	       0.881	       0.737	       1.274
1655	       0.434	          0.765	       0.617	       0.181	       0.924
1656	       1.121	          1.133	       0.498	       0.861	       0.915
1657	       0.613	          0.906	       0.743	       0.859	       1.115
1658	       0.868	          1.073	       0.770	       0.862	       0.961
1659	       0.957	          0.922	       0.870	       0.978	       0.988
1660	       1.143	          0.992	       1.042	       1.023	       1.183
1661	       1.412	          1.185	       1.073	       1.233	       0.997
1662	       0.715	          0.894	       0.952	       1.062	       1.019
1663	       0.846	          1.021	       0.811	       1.091	       0.792
1664	       0.998	          1.016	       1.023	       0.893	       1.038
1665	       0.708	          0.949	       1.074	       0.846	       1.085
1666	       1.151	          1.150	       0.943	       1.170	       0.979
1667	       0.818	          0.950	       0.989	       0.924	       0.921
1668	       0.886	          0.933	       0.857	       0.851	       0.925
1669	       0.637	          0.874	       1.028	       0.823	       0.848
1670	       1.015	          0.938	       1.167	       0.974	       0.861
1671	       0.976	          1.022	       1.093	       0.759	       0.746
1672	       0.905	          0.917	       0.635	       0.861	       0.645
1673	       1.104	          0.896	       0.839	       0.856	       0.699
1674	       1.229	          0.979	       0.872	       1.074	       0.759
1675	       1.437	          0.941	       0.963	       1.171	       0.718
1676	       0.900	          0.813	       0.903	       0.859	       0.580
1677	       1.158	          0.655	       1.060	       0.733	       0.663
1678	       1.166	          0.785	       0.897	       0.809	       0.736
1679	       1.081	          0.695	       0.888	       0.917	       0.947
1680	       0.991	          0.805	       0.830	       0.892	       0.854
1681	       1.523	          0.916	       1.012	       0.990	       0.624
1682	       1.016	          0.739	       0.873	       0.903	       0.998
1683	       0.954	          0.886	       1.118	       0.886	       1.057
1684	       0.975	          1.020	       1.442	       1.140	       0.948
1685	       0.850	          0.931	       0.990	       1.093	       0.895
1686	       0.805	          0.787	       1.060	       1.020	       0.969
1687	       1.034	          0.968	       1.030	       0.954	       0.808
1688	       1.080	          0.876	       1.031	       0.902	       0.972
1689	       1.056	          0.950	       1.028	       0.933	       1.153
1690	       0.592	          0.813	       0.979	       0.854	       1.035
1691	       0.727	          0.977	       0.805	       0.663	       0.766
1692	       1.076	          0.898	       0.896	       0.949	       0.977
1693	       0.907	          0.859	       0.998	       0.845	       0.976
1694	       0.740	          0.849	       0.854	       0.889	       0.913
1695	       0.665	          0.857	       0.821	       0.851	       0.880
1696	       0.705	          0.827	       0.634	       0.831	       0.756
1697	       0.957	          1.047	       1.266	       1.041	       0.958
1698	       0.693	          0.939	       1.088	       1.013	       0.813
1699	       0.902	          1.053	       0.749	       1.281	       0.595
1700	       0.844	          0.923	       0.833	       1.350	       0.677
1701	       0.663	          0.750	       0.807	       0.944	       0.675
1702	       0.702	          1.085	       0.751	       1.261	       0.791
1703	       0.568	          0.807	       0.942	       0.877	       0.795
1704	       0.765	          0.879	       0.739	       0.751	       0.707
1705	       1.064	          0.974	       0.985	       1.162	       0.675
1706	       0.888	          0.840	       0.959	       0.875	       0.886
1707	       0.534	          0.785	       0.688	       0.913	       0.775
1708	       0.604	          0.825	       0.763	       0.861	       0.931
1709	       0.739	          0.732	       0.766	       0.940	       1.016
1710	       0.686	          0.760	       0.936	       0.872	       0.963
1711	       0.935	          0.949	       1.075	       0.955	       1.114
1712	       0.810	          0.760	       1.197	       0.867	       1.173
1713	       0.901	          0.834	       1.038	       0.907	       1.167
1714	       0.872	          0.822	       0.752	       0.926	       1.088
1715	       0.786	          0.928	       0.703	       1.172	       0.954
1716	       0.859	          1.034	       0.771	       1.289	       1.065
1717	       1.072	          1.097	       1.399	       1.204	       1.350
1718	       0.915	          1.031	       1.082	       0.947	       1.349
1719	       0.774	          1.076	       0.994	       0.983	       1.087
1720	       0.901	          1.174	       1.115	       1.067	       1.214
1721	       0.687	          1.021	       1.050	       0.962	       1.104
1722	       0.736	          0.903	       1.036	       0.916	       1.107
1723	       1.005	          0.968	       0.873	       0.888	       0.955
1724	       0.855	          0.976	       1.056	       0.965	       1.225
1725	       0.963	          1.055	       0.915	       1.132	       0.948
1726	       1.001	          1.316	       1.044	       1.061	       0.845
1727	       1.094	          1.166	       1.071	       1.104	       0.957
1728	       1.018	          0.891	       1.295	       0.922	       1.086
1729	       0.856	          0.645	       1.120	       0.460	       0.989
1730	       1.055	          0.907	       0.783	       0.843	       0.927
1731	       1.076	          0.811	       1.023	       0.809	       0.856
1732	       1.140	          0.999	       1.002	       0.873	       1.100
1733	       0.877	          0.788	       1.038	       0.972	       1.050
1734	       1.088	          0.976	       1.104	       0.951	       1.186
1735	       0.810	          0.714	       0.913	       0.870	       0.897
1736	       0.996	          0.834	       1.019	       1.020	       1.073
1737	       0.955	          0.945	       1.145	       1.046	       1.398
1738	       0.816	          0.904	       0.957	       1.144	       1.308
1739	       0.727	          0.910	       1.214	       1.151	       1.354
1740	       1.120	          1.124	       1.083	       1.160	       1.029
1741	       1.248	          0.892	       1.062	       1.070	       1.046
1742	       1.093	          0.986	       0.825	       1.070	       0.983
1743	       1.287	          1.038	       1.226	       0.982	       1.173
1744	       1.056	          0.891	       1.013	       1.099	       1.033
1745	       1.454	          1.028	       1.154	       1.330	       1.209
1746	       1.247	          0.872	       1.005	       1.168	       1.091
1747	       1.377	          0.878	       1.104	       1.066	       1.174
1748	       1.033	          0.722	       1.341	       0.819	       1.275
1749	       1.455	          1.121	       0.933	       1.285	       1.112
1750	       0.943	          0.833	       0.938	       1.056	       1.317
1751	       1.199	          0.855	       1.041	       1.064	       1.331
1752	       1.079	          0.810	       0.873	       0.945	       1.219
1753	       1.038	          0.818	       0.878	       0.891	       0.861
1754	       0.784	          0.828	       0.914	       1.034	       0.709
1755	       0.896	          1.210	       1.066	       1.296	       0.798
1756	       0.777	          0.927	       1.097	       0.961	       0.943
1757	       0.878	          0.864	       0.811	       0.976	       0.882
1758	       1.025	          1.031	       1.024	       1.141	       1.079
1759	       0.996	          0.923	       1.053	       1.111	       1.099
1760	       1.181	          1.013	       0.993	       1.033	       0.995
1761	       1.228	          0.998	       1.064	       1.225	       0.948
1762	       0.834	          0.703	       1.138	       1.042	       0.945
1763	       0.929	          0.774	       0.945	       1.035	       0.987
1764	       0.877	          0.923	       0.934	       1.013	       0.956
1765	       0.949	          0.777	       0.914	       0.811	       0.956
1766	       0.844	          0.745	       0.784	       0.959	       0.855
