Year	Value
1938	6.7813
1939	4.8670
1940	3.9139
1941	4.9717
1942	4.3328
1943	3.0415
1944	2.8320
1945	1.9107
1946	5.4235
1947	5.6505
1948	3.8399
1949	3.1530
1950	5.0362
1951	2.9349
1952	4.3734
1953	3.6932
1954	6.3032
1955	3.7041
1956	4.5448
1957	4.2174
1958	7.5932
1959	4.2881
1960	5.5209
1961	6.5746
1962	2.8528
1963	2.8722
1964	3.4105
1965	3.4717
1966	7.5052
1967	4.0874
1968	2.8858
1969	7.2908
1970	4.8931
1971	4.3062
1972	3.3492
1973	5.1289
1974	2.3607
1975	4.3467
1976	3.1762
1977	4.1717
1978	3.3827
1979	3.5185
1980	3.5541
1981	3.8394
1982	2.7001
1983	4.4319
1984	6.1600
1985	3.4409
1986	2.8081
1987	4.6616
1988	5.2907
1989	2.8905
1990	3.2971
1991	2.6240
1992	3.8642
