N1	N2	Id	Long	Lat	ElevM	Species	T	FirstYear	LastYear
1	94	russ135	87.58	50.42	2000	LASI	R	1700	1994
2	96	russ137	87.65	50.48	2150	LASI	R	1786	1994
3	93	russ133	87.68	50.5	1950	LASI	R	1713	1994
4	47	russ232	87.83	50.17	1644	LASI	R	1700	1999
5	48	russ233	87.92	50.12	1731	LASI	R	1700	2000
6	64	russ255	88.17	50.07	2100	LASI	R	1700	2012
7	89	russ127	85.37	50.15	1750	LASI	R	1700	1994
8	90	russ129	85.63	51	1450	LASI	R	1700	1994
9	49	russ234	87.48	50.48	1887	LASI	R	1700	1995
10	68	russ259	87.54	50.04	2250	LASI	R	1700	2012
11	40	russ222	84.62	50.42	1898	PISI	R	1777	2011
12	97	russ140	84.98	50.65	1500	LASI	R	1744	1994
13	95	russ136	85.23	50.87	1400	LASI	R	1764	1994
14	43	russ228	85.23	50.87	1560	LASI	R	1700	1995
15	91	russ130	85.23	50.87	1450	LASI	R	1700	1994
16	63	russ254	89.59	50.24	2280	LASI	R	1700	2012
17	45	russ230	87.83	50.27	1703	LASI	R	1700	2000
18	44	russ229	87.83	50.3	2235	LASI	R	1700	2000
19	50	russ235	87.97	50.68	1449	LASI	R	1753	2000
20	41	russ226	87.93	50.8	1943	LASI	R	1700	1998
21	13	mong018	90.98	49.48	1925	LASI	R	1700	2005
22	12	mong017	91	49.97	2124	LASI	R	1700	2005
23	61	russ252	91.28	50.36	2170	LASI	R	1722	2012
24	23	mong029	91.43	49.87	1939	LASI	R	1700	1998
25	69	mong007	91.55	49.7	2000	LAGM	R	1733	1994
26	6	mong009	91.57	49.92	2500	LASI	R	1700	1998
27	18	mong024	88.5	48.5	2172	LASI	R	1700	2004
28	11	mong016	88.37	48.6	2096	LASI	R	1700	2004
29	19	mong025	88.8	48.7	2046	LASI	R	1738	2004
30	14	mong020	88.87	48.27	2238	LASI	R	1700	2005
31	56	russ247	87.23	49.23	2200	LASI	R	1700	2012
32	60	russ251	86.57	49.36	2200	LASI	R	1700	2011
33	66	russ257	88.14	49.39	2250	LASI	R	1700	2011
34	59	russ250	87.5	49.51	2250	LASI	R	1700	2011
35	55	russ246	87.9208	49.611	2200	LASI	R	1700	2011
36	42	russ227	88.1	49.62	2076	LASI	R	1700	2000
37	57	russ248	87.02	49.2	2250	LASI	R	1700	2010
38	46	russ231	87.28	49.17	2410	LASI	R	1700	2000
